Twiitti_final,true_label,GPT4o-mini-prompt-engineered,DeepSeek distilled-qwen-32B-prompt-engineered,classification,GPT4o-mini-word_or_words_contributing_the_most (prompt-engineered with comments),DeepSeek-MetaCommentsAboutReasoning,Logical_Validity_ChatGPT_R1,Faithfulness_ChatGPT_R1,Factual_Accuracy_ChatGPT_R1,Logical_Validity_DeepSeek_R1,Faithfulness_DeepSeek_R1,Factual_Accuracy_DeepSeek_R1,Logical_Validity_ChatGPT_R2,Faithfulness_ChatGPT_R2,Factual_Accuracy_ChatGPT_R2,Logical_Validity_DeepSeek_R2,Faithfulness_DeepSeek_R2,Factual_Accuracy_DeepSeek_R2
@Current It‚Äôs just like this. You can conveniently put a note on your forehead.,1,0,0,FN,"It‚Äôs just like this, note, forehead. The tweet does not contain any political context or references to corporate political activity, social responsibility, or activism. It appears to be a casual statement without any implications related to government policies or societal issues.","This is a casual comment about putting a note on the forehead. It doesn't relate to any political activity or corporate social responsibility. Classification: 0. Words: ""@Current"", ""conveniently"".",2,2,2,2,2,2,2,2,2,2,2,2
"We want to thank you for this year and wish all of you a prosperous, sustainable 2022! #NewYear2022 #BuildingPerformance <URL>",1,0,0,FN,"prosperous, sustainable, #BuildingPerformance. The tweet expresses well-wishes for the new year and mentions sustainability, but it does not engage in corporate political activity, political corporate social responsibility, or corporate social activism. It lacks a direct connection to influencing government policies or addressing societal issues in a political context.","""RT XXXXX: Unpublished research by the European Central Bank's staff committee, seen by POLITICO, found that many of the instituti… [truncated]"" This mentions research by the ECB, which is a government institution. It's about economic policies, which could be corporate political activity if it's influencing policies. However, the tweet is about research findings, not corporate action. So, it's 0.",2,2,1,2,2,2,2,2,1,2,2,1
How can IT management improve the company's energy efficiency and responsibility? Read the answers in the blog ¬ª,1,0,0,FN,"energy efficiency, responsibility. The tweet discusses IT management's role in improving energy efficiency and responsibility, which relates to corporate practices but does not directly engage with political activity, corporate social responsibility, or activism as defined in the prompt.","""Meteorologist with a mission. I appreciate it. <URL>"" This is a comment on a meteorologist's work. Not political, so 0.",2,2,1,2,2,1,2,2,2,2,2,1
Meteorologist with a mission. I appreciate it. <URL>,1,0,0,FN,"Meteorologist, mission. The tweet does not reference any corporate political activity, social responsibility, or activism. It simply expresses appreciation for a meteorologist, which is non-political in nature.","**Analysis:** This discusses business operations in Russia and Belarus. While it's about corporate decisions, it doesn't involve influencing government policies or addressing societal issues. It's more about business strategy. Non-political.",2,2,1,2,2,1,2,2,1,2,2,1
RT @XXXXX: Selling old foods helps to minimize #waste. #XXXXX sells such food...,1,0,0,FN,"#waste. The tweet discusses selling old foods to minimize waste, which is more focused on a business practice and environmental concern rather than a direct political activity or corporate social responsibility initiative.","A thank you tweet without any specific content about policies, societal issues, or stances. Non-political (0). The key words are ""XXXXX"", ""XXXXX"".",2,2,1,2,2,1,2,2,1,2,2,1
RT @XXXXX: Another step forward to restore the natural loop of the lake trout on the Hyrynsalmi route. Leppikoski's #fish heart is that...,1,0,0,FN,"natural loop, lake trout, fish heart. The tweet discusses ecological restoration efforts related to fish populations, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism as defined. It focuses on environmental issues rather than corporate influence or societal issues in a political context.","Discusses industry challenges and company resilience. It's about business operations without clear political elements. Non-political (0). Key words: ""construction industry"", ""balance sheet"".",2,2,1,2,2,2,2,2,1,2,2,2
What is #mobile testing? It's that #korona'tests are taken to the testing site. And this is how it works in practice outside of @XXXXX's construction site. Fast and preventative. #koronafi <URL>using @YouTube,1,0,0,FN,"testing, Fast, preventative. The tweet primarily discusses mobile testing and its practical implementation, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on a specific operational aspect rather than any political or corporate influence on societal issues.","Focuses on care services and roles. It's about service provision, not political activities. Non-political (0). Key words: ""nursing home"", ""care services"".",2,2,2,2,2,1,2,2,2,1,2,1
XXXXX XXXXX XXXXX Thanks XXXXX and everyone at XXXXX !,1,0,0,FN,"Thanks, everyone, XXXXX_ - The tweet expresses gratitude and acknowledges individuals and organizations without addressing any political or corporate issues, thus it does not align with the definition of a political tweet.","Talks about climate change impacts on investments. It's about financial advice, not directly political. Non-political (0). Key words: ""investment portfolio"", ""webinar"".",2,2,1,2,2,1,2,2,2,2,2,1
"Hej, Vienna! We're opening our new showcase sustainable store at Westbahnhof today. Walk, bike, or take the bus to seven floors filled with home inspiration and sustainability initiatives. Oh, and the top two floors host a hotel and a public rooftop. <URL>",1,0,0,FN,"sustainable, home inspiration, initiatives. The tweet focuses on the opening of a store and promoting sustainability initiatives, but it does not engage in corporate political activity, political corporate social responsibility, or corporate social activism as defined. It is more about business operations and consumer engagement rather than influencing government policies or addressing societal issues in a political context.","Discusses care services and staffing. It's about service quality, not political activities. Non-political (0). Key words: ""care services"", ""professionals"".",2,2,1,2,2,0,2,2,2,2,2,0
"According to a survey by Elon XXXXX, a third of entrepreneurs are at a worrying level and the majority of entrepreneurs are very stressed. #entrepreneurship #work-related Tips to improve their working lives? <URL>",1,0,0,FN,"#entrepreneurship,","The eleventh tweet mentions a survey about entrepreneurs' stress levels. It's about work-related stress, not directly related to corporate political activity. 0.",0,0,0,2,2,1,0,1,0,2,2,1
"What an exciting week at #CTBUH2021 A big thank you to XXXXX, our amazing #KONE team, and everyone who joined us at the events in Chicago, London, and Shenzhen. So many (face-to-face!) encounters and discussions on #TheFutureCity. Hope to see you again next year! <URL>",1,0,0,FN,"The words 'exciting', 'thank you', 'amazing', and 'encounters' contribute to this classification decision the most. The tweet focuses on expressing gratitude and excitement about events and discussions, which are not aligned with corporate political activity, political corporate social responsibility, or corporate social activism. It lacks any reference to influencing government policies, addressing societal issues, or taking stances on controversial issues.","The twenty-eighth tweet praises journalism in a crisis, not political. 0.",2,2,2,1,2,1,1,2,2,1,2,1
‚ÄúI go all your boys‚Äù The most touching reading of the weekend. Human and unfavorable story in the midst of apocalyptic chaos and need. Wonderful journalism. XXXXX,1,0,0,FN,"The words 'human', 'unfavorable', and 'journalism' contribute to this classification decision the most. The tweet discusses a reading that is described as touching and human, focusing on storytelling rather than corporate political activity, social responsibility, or activism. It does not engage with any political themes or corporate actions that align with the definitions provided.",**Analysis**: Discusses product demand and popularity. No political angle. **Classification**: 0 **Explanation**: Focuses on product features and market demand.,2,2,1,2,2,2,2,2,1,2,2,2
"Wood grows its popularity in yard and terrace construction. XXXXX industrial saturator customers are therefore in demand for a strong, dense and durable #Sleeping wood: <URL>",1,0,0,FN,"customers, wood, demand. The tweet focuses on the popularity and demand for wood in construction, which is a commercial topic rather than a political one. It does not address any corporate political activity, social responsibility, or activism.","**Analysis**: Personal story without political elements. **Classification**: 0 **Explanation**: Focuses on a personal meeting, not political.",2,2,2,2,2,2,2,2,1,2,2,2
RT XXXXX: Repost from XXXXX: Warming news! A young Gubbe heart friend made possible by Veritas has met a 90-year-old godfather...,1,0,0,FN,"Warming news, heart friend, godfather. The tweet focuses on a personal story and does not address any corporate political activity, social responsibility, or activism. It lacks elements related to influencing government policies or addressing societal issues in a corporate context.",**Analysis**: Weather-related tweet. Not political. **Explanation**: Weather update without political context.,2,2,1,2,2,1,2,2,1,2,2,1
RT XXXXX: All-time heat records getting smashed before noon. Hotter tomorrow. Hotter the day after... I can't believe what I am s‚Ä¶,1,0,0,FN,"heat records, hotter, climate change. The tweet discusses weather conditions and heat records but does not engage with corporate political activity, corporate social responsibility, or corporate social activism. It focuses on immediate environmental observations rather than political or corporate actions.",**Analysis**: Talks about market growth for bio-based products. Not directly political. **Classification**: 0,2,2,1,1,2,2,2,2,2,2,2,2
"Bodex is a Polish manufacturer of #trailers and tippers with a new semi-trailer made from Hardox¬Æ 500 Tuf #steel. Wear-resistant XXXXXsteel makes the new trailer stronger, more durable, and more sustainable ‚Äì ideal for tough conditions.",1,0,0,FN,"Bodex, manufacturer, trailers, tippers, Hardox, steel, sustainable. The tweet primarily discusses the features and benefits of a specific product (a semi-trailer) and does not engage with any political concepts such as corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on product durability and sustainability in a commercial context rather than addressing societal issues or influencing government policies.","This tweet is about a company manufacturing trailers and tippers. It mentions the use of a specific type of steel and the benefits of the product. It doesn't seem to involve any corporate political activity, social responsibility, or activism. So, I'll classify this as 0.",2,2,2,2,1,2,2,2,2,2,1,2
"Are you getting electronic invoices from Finnvera? Immediate benefits: saving time = cost saving, in addition, e-invoice is a more environmentally friendly choice. Read more and see the instructions in our news. #evuse #egg #egging #digitalisation <URL>",1,0,0,FN,"e-invoice, cost saving, environmentally friendly. The tweet focuses on the benefits of electronic invoicing, emphasizing time and cost savings as well as environmental friendliness. It does not engage with corporate political activity, political corporate social responsibility, or corporate social activism, which are the key elements of a political tweet as defined.","A retweet about the company's future vision and strategy. It's about business direction, not political activity. Classification: 0.",2,2,2,2,2,1,2,2,2,2,2,1
RT XXXXX: Our vision for the future is clear. And we have the right strategy in place to take us there. Read more: <URL>,1,0,0,FN,"vision, strategy. The tweet discusses a company's vision and strategy without addressing any political activity, societal issues, or corporate activism. It focuses on internal corporate goals rather than external political engagement.","Discussing a company's initiative to emphasize homeness. It's about internal policies, not political. Classification: 0.",2,2,1,2,2,1,2,2,2,2,2,1
"XXXXX has granted HalpaHall the key ticket access. ""We wanted to further emphasize homeness at company level by applying for our own Key ticket access"", says XXXXX XXXXX, Managing Director of XXXXX. Read more: <URL>#Key ticket <URL>",1,0,0,FN,"Key ticket, homeness. The tweet focuses on a company's internal initiative regarding access and emphasizes 'homeness' at the company level, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism.",Retweet about a construction project. Not political. Classification: 0.,1,0,1,1,2,1,2,2,1,1,1,1
RT XXXXX: XXXXX XXXXX from XXXXX has been part of the alliance to build Tampere Ratikka. Join XXXXX to celebrate Ratikka-...,1,0,0,FN,"Ratikka, alliance, celebrate. The tweet discusses a construction project and a celebration event, which does not align with corporate political activity, political corporate social responsibility, or corporate social activism. It focuses on a specific project rather than influencing government policies or addressing societal issues.","Talks about uncertainty regarding the virus and choices that might be misassessed later. It doesn\'t mention any corporate actions or policies. Seems more like a personal opinion, so 0.",2,2,2,2,1,1,2,2,1,2,2,2
"Our new eco-friendly hybrid ro-ro vessel, XXXXX I, has now been delivered to Finnlines. According to the current plans Finneco I will enter Finnlines‚Äô Baltic Sea, North Sea and Biscay traffic in June 2022. Read more: <URL> #sustainable #newbuilding <URL>",1,0,0,FN,"eco-friendly, hybrid, vessel, traffic. The tweet primarily discusses the delivery of a new vessel and its operational plans, focusing on sustainability in a business context rather than engaging in political activity or corporate social responsibility efforts. The terms 'eco-friendly' and 'sustainable' relate to environmental considerations but do not indicate a direct political stance or action.",Discussing industry challenges. Not directly about influencing policy or societal issues. 0.,2,1,1,1,2,1,2,2,2,1,1,1
