true_label,Twiitti_final,BERT,DistilBERT,Llama-3.1.8B-Instruct (Naive),GPT4o-mini-naive,GPT4o-mini-sophisticated,DeepSeek distilled-qwen-32B (reasoning) naive,DeepSeek distilled-qwen-32B (reasoning) sophisticated,Llama,GPT4o-mini-word_or_words_contributing_the_most (naive,GPT4o-mini-word_or_words_contributing_the_most (sophisticated with comments),GPT4o-mini-sophisticated,DeepSeek-MetaCommentsAboutReasoning
0,,0,0,1,0,0,0,0,"#MobilityForAll"", ""#Mobility"", ""ambition"", ""deliver"", ""Ever Better""","mobility, brand, ambition","XXXXXXXX, mobility, XXXXXXX, Cologne - The tweet primarily discusses the establishment of a brand and its operational details, focusing on business and brand identity rather than any political activity or corporate social responsibility. There are no references to influencing government policies, societal issues, or corporate activism.",,"This seems to be about a brand launch. It mentions establishing a company in a new location with a CEO. There's no direct mention of influencing government policies, addressing societal issues beyond their core business, or taking stances on controversial topics. So, it's non-political. Classification: 0. The key words are ""dedicated"", ""brand"", ""ambition""."
1,,0,0,0,0,0,0,0,"current, can","note, forehead","It‚Äôs just like this, note, forehead. The tweet does not contain any political context or references to corporate political activity, social responsibility, or activism. It appears to be a casual statement without any implications related to government policies or societal issues.",,"This is a casual comment about putting a note on the forehead. It doesn't relate to any political activity or corporate social responsibility. Classification: 0. Words: ""@Current"", ""conveniently""."
0,,0,0,1,0,0,0,0,"Oyj, fianncial statements",#financial statements,"#XXXXXXX, #financial statements, release",,"This is a retweet about financial statements, which is a routine business activity. No political elements. Classification: 0. Words: ""RT"", ""#XXXXXX"", ""financial""."
0,,0,0,0,0,0,0,0,"Master, XXXXXX, Services","vibes, thoughts, Services","Master Kissalli, vibes, thoughts, Services, Workability, Work Life. The tweet primarily discusses an event and the associated thoughts of an individual, without any reference to corporate political activity, social responsibility, or activism. The focus is on a service and personal experiences rather than political engagement or influence.",,"n1. ""Master Kissalli comes again! Check the video behind the link for the vibes of the previous time. Also included are the thoughts of XXXX Pulkkanen of the Services: <URL> #XXXXX #Declaration #Workability Services #Work Life <URL>"" nLooking at the hashtags and the mention of XXXXX Pulkkanen and Workability Services, this seems to be about work services or possibly company-related content. It doesn 't directly address influencing government policies, societal issues, or taking a stance on controversial topics. So, I 'll classify this as 0."
0,,0,0,1,1,1,0,0,Finland,"operations, financing","operations, financing, stake. The mention of 'operations' and 'financing' suggests a discussion about corporate activities that may influence or be influenced by government policies, aligning with corporate political activity (CPA). Additionally, the reference to a 'large share stake' indicates a significant corporate maneuver that could have political implications, further supporting the classification as a political tweet.",,"XXXXXX'S giant store does not threaten Finland’s operations – Rettig Group receives a large share stake and organises its financing <URL> This tweet talks about a company's operations, share stakes, and financing. It seems like corporate activity but not necessarily political unless it's about influencing policies. Since it's more about business operations, I'll classify this as 0."
1,,1,1,0,1,1,1,1,Sustainability,#DavosAgenda,"Sustainability', '#DavosAgenda'. Justification: The term 'Sustainability' is often associated with corporate social responsibility and political corporate social responsibility, indicating a corporate effort to address societal issues. Additionally, '#DavosAgenda' refers to discussions at the World Economic Forum, which often involve corporate political activity and stakeholder engagement, further supporting the political classification.",,"""RT @XXXXXX: ""Sustainability will be the new Digital"" - great insights from the #DavosAgenda by @XXXXX. <URL>"" Davos Agenda is related to global issues and sustainability, which could fall under PCSR as it's about addressing societal issues. The mention of sustainability suggests a focus on broader societal goals, so this should be 1. "
1,,1,1,1,1,1,1,1,"""dialogue"", ""decision-makers"", ""environment"".","dialogue, decision-makers, operating environment","Open dialogue, decision-makers, operating environment. This tweet discusses the importance of dialogue with decision-makers and the operating environment for companies, which aligns with corporate political activity and the influence of corporate actions on government policies.",,"""Positive case.@XXXXXX. There are no lights to be turned off here, companies will invest if the operating environment ml tax and predictability is in order, the permits will work. Open dialogue with decision-makers is important. <URL>"" This tweet mentions companies investing, operating environment, taxes, permits, and dialogue with decision-makers. These are all elements of corporate political activity, as it's about influencing government policies for business benefit. So, this is 1."
0,,0,0,0,0,0,0,0,"""identification"", ""service"".","identification service, Design Museum","Beautiful plate, identification service, Design Museum Arabia. The tweet discusses a product and its historical context without any reference to corporate political activity, social responsibility, or activism. It focuses on design and consumer information rather than political or corporate influence.",,"""@XXXXX Beautiful plate! The stamp would refer to the years of production from 1949 to 1964. We do not have our own identification service, but XXXXX and XXXXX Design Centre are connected to Design Museum XXXX; you can ask for information about our old products on site. <URL> can also help."" This is a product-related tweet, discussing production years and identification services. It doesn't touch on political aspects, so it's 0."
0,,0,0,0,0,0,0,0,staff satisfaction,"Congratulations, inspiring, staff satisfaction","Congratulations, inspiring jobs, staff satisfaction. The tweet focuses on employee satisfaction and recognition of a company rather than any political activity or corporate social responsibility efforts. It does not address government policies, societal issues, or corporate activism.",,"""RT @XXXXX: Congratulations @XXXX! Sponda is one of the most inspiring jobs in Finland! Behind the excellent staff satisfaction..."" Congratulating a company on job satisfaction doesn't indicate any political activity. It's more about corporate culture, so 0."
0,,0,0,0,1,1,0,0,"customer, private employer","largest private employer, Participation","largest private employer', 'job', 'professionals', 'Participation' - This tweet highlights the role of a corporation as a significant employer in the region, which aligns with corporate political activity (CPA) by emphasizing the company's impact on the local economy and workforce. The mention of 'Participation' suggests an engagement with societal issues, further supporting its classification as political.",,"""You like Finnish bread. As a customer, you are offering a job for 40,000 XXXXX professionals. There are more than 1800 of us in Central Finland and we are the largest private employer in Central Finland! Read more: <URL> #Soletsina #Participation storeCentral Finland <URL>"" This is promoting employment opportunities and the company's role as an employer. It's about corporate social responsibility but not necessarily addressing societal issues beyond employment. It might be PCSR, but since it's more about job creation, it's a bit borderline. However, it's not taking a stance on a controversial issue, so I'll classify it as 0."
